invoice_no,customer_id,amountall,create_date,due_date,status,paid_date
INV0003886,CUS09739,573775.08,2024-12-14,2025-02-12,0,2025-07-13
INV0051335,CUS45975,393924.39,2024-10-06,2024-12-05,0,2025-07-13
INV0071317,CUS65413,319289.31,2024-09-04,2024-11-03,0,2025-07-13
INV0041939,CUS85871,340656.9,2024-07-21,2024-08-20,0,2025-07-13
INV0025096,CUS66261,671219.72,2024-10-23,2024-11-22,0,2025-07-13
INV0015746,CUS85857,937921.57,2024-12-28,2025-02-26,0,2025-07-13
INV0016955,CUS20260,358022.01,2025-02-21,2025-03-23,0,2025-07-13
INV0077935,CUS16322,961083.97,2025-06-25,2025-07-25,0,2025-07-13
INV0036206,CUS93777,668444.72,2025-02-24,2025-04-25,0,2025-07-13
INV0022133,CUS41094,668272.13,2025-01-13,2025-02-12,0,2025-07-13
INV0056326,CUS92124,708729.35,2025-03-15,2025-04-14,0,2025-07-13
INV0015061,CUS15625,384120.43,2024-09-12,2024-11-11,0,2025-07-13
INV0037195,CUS31429,699852.72,2025-05-08,2025-06-07,0,2025-07-13
INV0075740,CUS61140,74438.44,2025-05-06,2025-07-05,0,2025-07-13
INV0020545,CUS42191,58377.21,2025-04-16,2025-05-16,0,2025-07-13
INV0036957,CUS49884,430405.46,2024-10-23,2024-12-22,0,2025-07-13
INV0059774,CUS59962,270573.12,2025-05-21,2025-07-20,0,2025-07-13
INV0030957,CUS61887,517038.23,2025-05-12,2025-07-11,0,2025-07-13
INV0072849,CUS10340,533704.9,2025-04-12,2025-06-11,0,2025-07-13
INV0016571,CUS46472,649719.79,2025-04-27,2025-06-26,0,2025-07-13
INV0033882,CUS36653,259239.61,2024-11-22,2025-01-21,0,2025-07-13
INV0038459,CUS01699,355205.37,2024-10-14,2024-11-13,0,2025-07-13
INV0042954,CUS65182,578053.0,2025-04-18,2025-06-17,0,2025-07-13
INV0056870,CUS61352,379912.7,2025-01-23,2025-02-22,0,2025-07-13
INV0000077,CUS07393,3346.46,2024-07-27,2024-09-25,0,2025-07-13
INV0014841,CUS88724,542976.03,2025-05-10,2025-06-09,0,2025-07-13
INV0053883,CUS42336,533741.97,2024-10-09,2024-12-08,0,2025-07-13
INV0049677,CUS00333,350679.33,2024-09-08,2024-11-07,0,2025-07-13
INV0040089,CUS70760,150677.11,2025-01-07,2025-03-08,0,2025-07-13
INV0050195,CUS47035,383222.9,2025-05-24,2025-07-23,0,2025-07-13
INV0060339,CUS98137,188072.01,2025-05-21,2025-06-20,0,2025-07-13
INV0011824,CUS14582,410008.59,2024-11-18,2025-01-17,0,2025-07-13
INV0049274,CUS54016,706151.2,2025-07-06,2025-08-05,0,2025-07-13
INV0004649,CUS10893,473362.79,2024-10-22,2024-12-21,0,2025-07-13
INV0025725,CUS43851,276238.3,2025-05-13,2025-06-12,0,2025-07-13
INV0064579,CUS58956,397089.04,2024-12-12,2025-02-10,0,2025-07-13
INV0031443,CUS54295,998815.06,2024-11-27,2024-12-27,0,2025-07-13
INV0066018,CUS08847,719312.47,2025-07-10,2025-08-09,0,2025-07-13
INV0022265,CUS18199,518038.56,2025-05-17,2025-07-16,0,2025-07-13
INV0003490,CUS69084,778608.33,2024-10-29,2024-12-28,0,2025-07-13
INV0080000,CUS16970,504816.38,2024-08-22,2024-09-21,0,2025-07-13
INV0034617,CUS57282,359736.85,2025-03-16,2025-04-15,0,2025-07-13
INV0011091,CUS67364,165641.38,2025-03-22,2025-04-21,0,2025-07-13
INV0059955,CUS55985,977053.17,2024-10-16,2024-11-15,0,2025-07-13
INV0030042,CUS97421,174783.25,2025-01-17,2025-03-18,0,2025-07-13
INV0063911,CUS45695,564950.74,2025-05-28,2025-06-27,0,2025-07-13
INV0003076,CUS74507,781126.53,2024-11-28,2024-12-28,0,2025-07-13
INV0056892,CUS86203,169858.96,2025-02-16,2025-04-17,0,2025-07-13
INV0033220,CUS46999,136995.59,2024-12-13,2025-01-12,0,2025-07-13
INV0023652,CUS76676,639842.4,2024-07-12,2024-08-11,0,2025-07-13
INV0079526,CUS03172,816864.91,2024-10-19,2024-11-18,0,2025-07-13
INV0075160,CUS09259,846090.99,2025-02-03,2025-04-04,0,2025-07-13
INV0023054,CUS86348,258491.62,2025-05-21,2025-07-20,0,2025-07-13
INV0029435,CUS24491,285396.02,2025-02-06,2025-03-08,0,2025-07-13
INV0055853,CUS59108,943760.98,2024-07-19,2024-09-17,0,2025-07-13
INV0068223,CUS39020,607695.79,2024-11-02,2024-12-02,0,2025-07-13
INV0068015,CUS23946,485003.49,2024-07-20,2024-09-18,0,2025-07-13
INV0024141,CUS90782,366955.03,2024-07-19,2024-08-18,0,2025-07-13
INV0073862,CUS79572,918659.68,2024-08-13,2024-10-12,0,2025-07-13
INV0029528,CUS61916,286488.39,2025-07-12,2025-09-10,0,2025-07-13
INV0023260,CUS36443,938917.81,2024-10-01,2024-10-31,0,2025-07-13
INV0037631,CUS71323,323192.06,2024-07-20,2024-09-18,0,2025-07-13
INV0036836,CUS30454,583946.87,2025-02-02,2025-03-04,0,2025-07-13
INV0062583,CUS76103,727699.56,2025-04-12,2025-05-12,0,2025-07-13
INV0002487,CUS14388,35573.23,2025-06-05,2025-07-05,0,2025-07-13
INV0056569,CUS55040,448725.04,2024-12-18,2025-01-17,0,2025-07-13
INV0065589,CUS35428,129925.14,2024-09-09,2024-10-09,0,2025-07-13
INV0031987,CUS32221,928165.92,2024-11-02,2025-01-01,0,2025-07-13
INV0030464,CUS86810,803685.39,2025-07-08,2025-08-07,0,2025-07-13
INV0000690,CUS61125,88114.99,2025-04-18,2025-06-17,0,2025-07-13
INV0045587,CUS24200,636692.37,2024-11-07,2024-12-07,0,2025-07-13
INV0024225,CUS36430,686495.8,2025-03-01,2025-04-30,0,2025-07-13
INV0071618,CUS83778,952141.28,2025-02-23,2025-04-24,0,2025-07-13
INV0027713,CUS38451,901168.81,2024-08-24,2024-10-23,0,2025-07-13
INV0027207,CUS79285,747544.4,2024-09-21,2024-10-21,0,2025-07-13
INV0002097,CUS60989,352591.11,2024-08-14,2024-10-13,0,2025-07-13
INV0027778,CUS72023,358281.35,2025-06-10,2025-07-10,0,2025-07-13
INV0018773,CUS91821,331477.69,2025-04-05,2025-06-04,0,2025-07-13
INV0048540,CUS80207,968841.95,2025-06-18,2025-07-18,0,2025-07-13
INV0071681,CUS81905,929466.2,2025-06-09,2025-07-09,0,2025-07-13
INV0017010,CUS75575,250274.1,2025-02-20,2025-04-21,0,2025-07-13
INV0049946,CUS88479,754452.18,2025-05-31,2025-07-30,0,2025-07-13
INV0034302,CUS11534,440224.53,2025-05-25,2025-07-24,0,2025-07-13
INV0034707,CUS85230,576095.35,2024-10-17,2024-12-16,0,2025-07-13
INV0012913,CUS05755,247098.6,2024-10-06,2024-11-05,0,2025-07-13
INV0035968,CUS24964,930498.71,2024-12-28,2025-01-27,0,2025-07-13
INV0052229,CUS18243,378201.21,2025-03-08,2025-05-07,0,2025-07-13
INV0028369,CUS32095,864216.94,2024-10-04,2024-12-03,0,2025-07-13
INV0029926,CUS74744,109260.46,2024-09-27,2024-11-26,0,2025-07-13
INV0038534,CUS67907,849857.31,2025-02-12,2025-03-14,0,2025-07-13
INV0062867,CUS85836,970553.45,2025-04-20,2025-05-20,0,2025-07-13
INV0064083,CUS46881,821591.02,2024-10-03,2024-12-02,0,2025-07-13
INV0005454,CUS25891,484005.0,2025-03-24,2025-04-23,0,2025-07-13
INV0029516,CUS72174,670540.18,2025-02-19,2025-03-21,0,2025-07-13
INV0012338,CUS26772,109307.05,2024-07-13,2024-09-11,0,2025-07-13
INV0017626,CUS24634,551749.69,2025-07-08,2025-09-06,0,2025-07-13
INV0026999,CUS52604,773804.25,2025-05-14,2025-06-13,0,2025-07-13
INV0069789,CUS89164,636068.48,2024-11-12,2024-12-12,0,2025-07-13
INV0079301,CUS80158,802476.56,2024-11-08,2024-12-08,0,2025-07-13
INV0063453,CUS68248,447130.7,2025-05-25,2025-06-24,0,2025-07-13
INV0039435,CUS13289,324889.83,2025-05-07,2025-06-06,0,2025-07-13
INV0060249,CUS81501,14304.5,2025-01-04,2025-02-03,0,2025-07-13
INV0004079,CUS51142,74847.3,2025-06-12,2025-08-11,0,2025-07-13
INV0044442,CUS28543,794158.62,2024-12-19,2025-02-17,0,2025-07-13
INV0074239,CUS43573,257956.91,2025-02-25,2025-04-26,0,2025-07-13
INV0054898,CUS58426,482682.66,2025-02-15,2025-04-16,0,2025-07-13
INV0026986,CUS83610,859734.98,2024-12-23,2025-01-22,0,2025-07-13
INV0068575,CUS05761,313554.03,2025-02-26,2025-04-27,0,2025-07-13
INV0050519,CUS37485,149637.51,2024-09-04,2024-10-04,0,2025-07-13
INV0059323,CUS00513,322329.36,2024-07-19,2024-09-17,0,2025-07-13
INV0053201,CUS93334,293570.77,2025-02-26,2025-04-27,0,2025-07-13
INV0053101,CUS47519,444526.23,2025-07-11,2025-08-10,0,2025-07-13
INV0079398,CUS85717,667734.77,2025-06-21,2025-08-20,0,2025-07-13
INV0049490,CUS67547,475324.27,2025-02-17,2025-04-18,0,2025-07-13
INV0004164,CUS22197,336193.17,2025-05-08,2025-07-07,0,2025-07-13
INV0021731,CUS57937,83131.44,2024-11-12,2025-01-11,0,2025-07-13
INV0051423,CUS54955,796616.02,2025-04-22,2025-06-21,0,2025-07-13
INV0024062,CUS25415,135151.51,2024-09-01,2024-10-31,0,2025-07-13
INV0044296,CUS80747,636776.59,2025-05-29,2025-06-28,0,2025-07-13
INV0071353,CUS81190,397515.69,2025-05-18,2025-06-17,0,2025-07-13
INV0031902,CUS25546,850420.22,2025-06-17,2025-07-17,0,2025-07-13
INV0000799,CUS75723,951861.05,2025-04-26,2025-06-25,0,2025-07-13
INV0029140,CUS70042,792768.76,2025-05-07,2025-06-06,0,2025-07-13
INV0001121,CUS07190,424383.58,2024-07-12,2024-09-10,0,2025-07-13
INV0047954,CUS52071,637719.25,2025-07-10,2025-08-09,0,2025-07-13
INV0049821,CUS07884,680632.63,2024-11-21,2024-12-21,0,2025-07-13
INV0048975,CUS53354,701298.52,2024-10-31,2024-12-30,0,2025-07-13
INV0056380,CUS62177,9426.16,2024-11-14,2024-12-14,0,2025-07-13
INV0080508,CUS70964,842186.14,2025-06-09,2025-07-09,0,2025-07-13
INV0024666,CUS62816,75412.05,2024-08-10,2024-09-09,0,2025-07-13
INV0073622,CUS09940,263348.69,2025-07-09,2025-09-07,0,2025-07-13
INV0050200,CUS56737,886684.66,2024-09-10,2024-11-09,0,2025-07-13
INV0031669,CUS92611,235735.24,2024-12-23,2025-02-21,0,2025-07-13
INV0033037,CUS75903,318659.25,2025-04-05,2025-05-05,0,2025-07-13
INV0000066,CUS31641,285171.43,2024-11-04,2025-01-03,0,2025-07-13
INV0019436,CUS94089,622657.75,2025-01-17,2025-03-18,0,2025-07-13
INV0049253,CUS22205,632523.16,2024-12-22,2025-02-20,0,2025-07-13
INV0029419,CUS05274,481555.26,2025-01-03,2025-03-04,0,2025-07-13
INV0064234,CUS10600,739064.95,2024-10-09,2024-12-08,0,2025-07-13
INV0009271,CUS92587,536343.1,2025-03-27,2025-04-26,0,2025-07-13
INV0038688,CUS82652,943845.62,2025-02-10,2025-03-12,0,2025-07-13
INV0044651,CUS36882,964473.26,2025-06-06,2025-08-05,0,2025-07-13
INV0064637,CUS83181,982001.5,2025-04-17,2025-05-17,0,2025-07-13
INV0000315,CUS25501,396039.91,2025-02-26,2025-04-27,0,2025-07-13
INV0027182,CUS98701,768970.26,2025-02-16,2025-04-17,0,2025-07-13
INV0065232,CUS52903,691389.56,2024-08-31,2024-09-30,0,2025-07-13
INV0076935,CUS92908,19327.14,2024-10-13,2024-11-12,0,2025-07-13
INV0068058,CUS29631,738921.57,2025-03-23,2025-04-22,0,2025-07-13
INV0064749,CUS41051,807037.41,2025-04-12,2025-05-12,0,2025-07-13
INV0056144,CUS55231,190188.66,2024-12-01,2025-01-30,0,2025-07-13
INV0078711,CUS12996,79620.26,2025-03-30,2025-04-29,0,2025-07-13
INV0051439,CUS14348,517122.63,2024-10-25,2024-11-24,0,2025-07-13
INV0054128,CUS58727,993099.67,2025-03-06,2025-05-05,0,2025-07-13
INV0064747,CUS61975,976906.77,2024-09-26,2024-11-25,0,2025-07-13
INV0061285,CUS60473,774096.09,2024-07-17,2024-09-15,0,2025-07-13
INV0024713,CUS67535,247112.5,2024-12-15,2025-02-13,0,2025-07-13
INV0065795,CUS87378,29260.32,2024-08-30,2024-10-29,0,2025-07-13
INV0006574,CUS16574,477841.97,2025-03-21,2025-04-20,0,2025-07-13
INV0000283,CUS29762,240655.84,2025-07-05,2025-08-04,0,2025-07-13
INV0028065,CUS61289,651355.83,2024-12-03,2025-01-02,0,2025-07-13
INV0035493,CUS13707,193723.02,2025-03-21,2025-05-20,0,2025-07-13
INV0021633,CUS79811,230503.62,2025-01-18,2025-02-17,0,2025-07-13
INV0068989,CUS89430,659116.99,2024-08-13,2024-09-12,0,2025-07-13
INV0012810,CUS58902,50658.53,2024-11-16,2024-12-16,0,2025-07-13
INV0036568,CUS43436,563436.01,2025-05-13,2025-06-12,0,2025-07-13
INV0068809,CUS93450,923529.93,2024-09-14,2024-10-14,0,2025-07-13
INV0048392,CUS34604,790419.39,2024-08-27,2024-10-26,0,2025-07-13
INV0018231,CUS66182,830400.45,2025-03-31,2025-05-30,0,2025-07-13
INV0069750,CUS80565,855167.25,2025-06-22,2025-07-22,0,2025-07-13
INV0069612,CUS32540,605061.22,2024-10-09,2024-12-08,0,2025-07-13
INV0059332,CUS80168,29624.04,2024-07-27,2024-09-25,0,2025-07-13
INV0077619,CUS36587,962353.79,2024-12-20,2025-01-19,0,2025-07-13
INV0080402,CUS02885,930661.9,2025-05-11,2025-07-10,0,2025-07-13
INV0012201,CUS78015,638521.12,2024-07-14,2024-08-13,0,2025-07-13
INV0032075,CUS16732,111410.05,2025-01-19,2025-03-20,0,2025-07-13
INV0039934,CUS80334,847379.54,2024-11-20,2025-01-19,0,2025-07-13
INV0030245,CUS19213,369718.32,2025-02-27,2025-03-29,0,2025-07-13
INV0041634,CUS37558,915523.69,2025-05-21,2025-07-20,0,2025-07-13
INV0062994,CUS64209,988219.84,2025-02-11,2025-03-13,0,2025-07-13
INV0054541,CUS49814,169547.91,2024-09-19,2024-10-19,0,2025-07-13
INV0070280,CUS30705,940892.49,2024-11-24,2024-12-24,0,2025-07-13
INV0054712,CUS29462,618929.53,2025-06-02,2025-07-02,0,2025-07-13
INV0075989,CUS32155,862803.41,2025-02-17,2025-03-19,0,2025-07-13
INV0053577,CUS67191,910033.71,2024-10-11,2024-11-10,0,2025-07-13
INV0064910,CUS83598,93321.72,2025-02-08,2025-03-10,0,2025-07-13
INV0068666,CUS17685,418412.08,2024-08-04,2024-09-03,0,2025-07-13
INV0025346,CUS14344,318251.37,2025-02-23,2025-03-25,0,2025-07-13
INV0017170,CUS67423,462337.09,2024-11-23,2025-01-22,0,2025-07-13
INV0053211,CUS08984,505789.99,2025-02-20,2025-03-22,0,2025-07-13
INV0048746,CUS87753,453361.68,2025-06-03,2025-08-02,0,2025-07-13
INV0024497,CUS48595,35692.85,2025-04-18,2025-05-18,0,2025-07-13
INV0049583,CUS35497,255841.38,2025-03-15,2025-05-14,0,2025-07-13
INV0000497,CUS45557,109523.22,2024-10-14,2024-12-13,0,2025-07-13
INV0069857,CUS43442,917683.38,2024-12-05,2025-01-04,0,2025-07-13
INV0037228,CUS99993,286486.7,2025-05-04,2025-07-03,0,2025-07-13
INV0025441,CUS94954,979460.55,2024-12-06,2025-02-04,0,2025-07-13
INV0011572,CUS97049,452467.36,2025-02-01,2025-03-03,0,2025-07-13
INV0002716,CUS96948,230772.03,2024-09-17,2024-10-17,0,2025-07-13
INV0000596,CUS89729,631632.83,2025-05-01,2025-05-31,0,2025-07-13
INV0076509,CUS97007,136488.17,2025-06-30,2025-07-30,0,2025-07-13
INV0026341,CUS93222,297282.32,2024-10-17,2024-12-16,0,2025-07-13
INV0040136,CUS37949,263158.68,2025-07-12,2025-09-10,0,2025-07-13
INV0050170,CUS11266,322428.13,2024-10-21,2024-11-20,0,2025-07-13
INV0029785,CUS55544,180426.44,2025-03-18,2025-04-17,0,2025-07-13
INV0065015,CUS11429,667188.46,2024-09-17,2024-11-16,0,2025-07-13
INV0027906,CUS73521,50938.36,2024-10-08,2024-11-07,0,2025-07-13
INV0071957,CUS75814,228354.31,2024-12-22,2025-01-21,0,2025-07-13
INV0055463,CUS92896,311201.87,2024-09-15,2024-11-14,0,2025-07-13
INV0015664,CUS36031,561188.4,2024-09-17,2024-11-16,0,2025-07-13
INV0068077,CUS30012,126326.47,2024-12-16,2025-02-14,0,2025-07-13
INV0046500,CUS46956,567527.29,2025-05-09,2025-06-08,0,2025-07-13
