customer_id,total_open_amount,total_paid_amount,avg_past_due_days,late_payment_percentage,payment_behavior_tag
CUS00138,22464.13,0.0,-10.0,0.0,Early Payer
CUS00140,530979.4,0.0,43.0,0.0,Late Payer
CUS00144,804777.94,0.0,127.0,0.0,Late Payer
CUS00146,1078803.04,0.0,66.5,0.0,Late Payer
CUS00147,127929.94,331341.71,-1.0,0.0,On-Time
CUS00148,862545.33,0.0,111.0,0.0,Late Payer
CUS00155,1733328.6800000002,322261.78,89.67,100.0,Late Payer
CUS00157,234231.19,0.0,18.0,0.0,Late Payer
CUS00158,199514.14,0.0,300.0,0.0,Late Payer
CUS00162,545227.09,0.0,114.0,0.0,Late Payer
CUS00163,415750.94,961212.39,212.5,100.0,Late Payer
CUS00164,486042.25,0.0,207.0,0.0,Late Payer
CUS00165,95670.53,0.0,39.0,0.0,Late Payer
CUS00166,66168.27,0.0,58.0,0.0,Late Payer
CUS00169,81195.29,0.0,-25.0,0.0,Early Payer
CUS00170,614479.19,0.0,171.0,0.0,Late Payer
CUS00171,57201.04,0.0,-9.0,0.0,Early Payer
CUS00172,903982.36,0.0,194.0,0.0,Late Payer
CUS00177,1742893.9,0.0,218.0,0.0,Late Payer
CUS00178,389791.79,0.0,117.0,0.0,Late Payer
CUS00180,207025.17,629721.54,226.0,100.0,Late Payer
CUS00181,145057.99,0.0,55.0,0.0,Late Payer
CUS00183,804173.54,0.0,247.0,0.0,Late Payer
CUS00185,423729.99,0.0,123.5,0.0,Late Payer
CUS00186,37910.36,0.0,235.0,0.0,Late Payer
CUS00187,1636720.24,0.0,196.0,0.0,Late Payer
CUS00188,552420.66,0.0,-12.0,0.0,Early Payer
CUS00190,303891.32,0.0,222.0,0.0,Late Payer
CUS00191,1261495.44,0.0,145.0,0.0,Late Payer
CUS00192,1460439.52,0.0,114.0,0.0,Late Payer
CUS00196,84844.56,0.0,110.0,0.0,Late Payer
CUS00199,425607.48,0.0,-37.0,0.0,Early Payer
CUS00203,455159.05,0.0,307.5,0.0,Late Payer
CUS00204,490618.78,0.0,236.0,0.0,Late Payer
CUS00205,178105.39,544675.79,128.0,100.0,Late Payer
CUS00207,312924.1,0.0,21.0,0.0,Late Payer
CUS00208,419004.96,0.0,276.0,0.0,Late Payer
CUS00211,296948.56,0.0,240.0,0.0,Late Payer
CUS00212,1139165.07,841962.56,240.5,100.0,Late Payer
CUS00213,1150465.65,0.0,204.5,0.0,Late Payer
CUS00214,246289.73,0.0,240.0,0.0,Late Payer
CUS00215,345852.16,0.0,224.0,0.0,Late Payer
CUS00219,129278.62,0.0,-11.0,0.0,Early Payer
CUS00221,984334.36,0.0,-12.0,0.0,Early Payer
CUS00222,21866.38,0.0,20.0,0.0,Late Payer
CUS00225,495306.19,0.0,310.0,0.0,Late Payer
CUS00226,1134734.56,0.0,205.0,0.0,Late Payer
CUS00227,226542.59,0.0,166.0,0.0,Late Payer
CUS00229,514007.62,0.0,244.0,0.0,Late Payer
CUS00231,592452.85,0.0,116.0,0.0,Late Payer
CUS00232,908916.91,0.0,94.0,0.0,Late Payer
CUS00233,1356574.84,587029.96,157.0,100.0,Late Payer
CUS00234,1355931.17,0.0,116.33,0.0,Late Payer
CUS00237,422224.44999999995,0.0,146.0,0.0,Late Payer
CUS00238,810527.44,0.0,313.0,0.0,Late Payer
CUS00239,836676.94,0.0,36.0,0.0,Late Payer
CUS00241,103699.64,0.0,108.0,0.0,Late Payer
CUS00243,123432.49,0.0,69.0,0.0,Late Payer
CUS00244,173161.74,0.0,253.0,0.0,Late Payer
CUS00245,818242.5,0.0,-2.0,0.0,On-Time
CUS00246,1260874.56,0.0,97.0,0.0,Late Payer
CUS00248,336264.91000000003,0.0,208.5,0.0,Late Payer
CUS00250,717375.99,0.0,208.0,0.0,Late Payer
CUS00253,682794.74,0.0,137.0,0.0,Late Payer
CUS00254,240530.59,0.0,3.0,0.0,On-Time
CUS00256,180496.17,0.0,265.0,0.0,Late Payer
CUS00257,1184498.54,0.0,58.0,0.0,Late Payer
CUS00258,1261302.24,0.0,85.5,0.0,Late Payer
CUS00261,525931.45,0.0,73.0,0.0,Late Payer
CUS00265,890846.44,0.0,186.0,0.0,Late Payer
CUS00267,667335.95,0.0,150.67,0.0,Late Payer
CUS00268,578251.97,0.0,76.0,0.0,Late Payer
CUS00269,2566355.45,0.0,96.25,0.0,Late Payer
CUS00270,218573.71,0.0,188.0,0.0,Late Payer
CUS00271,770570.55,0.0,237.0,0.0,Late Payer
CUS00272,458581.76,0.0,148.5,0.0,Late Payer
CUS00276,1091742.33,0.0,140.0,0.0,Late Payer
CUS00277,1053260.06,0.0,178.0,0.0,Late Payer
CUS00279,152996.72,24378.23,100.0,0.0,Late Payer
CUS00280,987290.93,0.0,230.0,0.0,Late Payer
CUS00282,330556.73,0.0,241.0,0.0,Late Payer
CUS00284,631038.02,0.0,88.5,0.0,Late Payer
CUS00287,858379.56,0.0,-12.0,0.0,Early Payer
CUS00288,1121391.83,0.0,47.5,0.0,Late Payer
CUS00291,857084.52,0.0,18.0,0.0,Late Payer
CUS00292,1047758.53,0.0,112.5,0.0,Late Payer
CUS00294,1601558.8399999999,0.0,126.33,0.0,Late Payer
CUS00295,162827.6,0.0,4.0,0.0,On-Time
CUS00296,769216.16,0.0,325.0,0.0,Late Payer
CUS00298,977111.12,0.0,-6.0,0.0,Early Payer
CUS00299,1321041.65,0.0,80.0,0.0,Late Payer
CUS00300,1522132.18,0.0,113.33,0.0,Late Payer
CUS00301,712511.47,0.0,36.0,0.0,Late Payer
CUS00304,715837.34,0.0,-8.0,0.0,Early Payer
CUS00307,1268830.15,0.0,188.0,0.0,Late Payer
CUS00311,1187333.85,79943.99,255.5,100.0,Late Payer
CUS00315,754201.3099999999,0.0,171.0,0.0,Late Payer
CUS00317,266816.44,0.0,108.0,0.0,Late Payer
CUS00319,478048.24,0.0,102.0,0.0,Late Payer
CUS00320,357684.79,0.0,156.0,0.0,Late Payer
CUS00321,113801.59,0.0,39.0,0.0,Late Payer
CUS00322,1781025.04,0.0,194.5,0.0,Late Payer
CUS00324,718254.0,0.0,26.0,0.0,Late Payer
CUS00325,1231966.7,0.0,185.67,0.0,Late Payer
CUS00327,541647.95,0.0,72.0,0.0,Late Payer
CUS00328,215959.28,0.0,324.0,0.0,Late Payer
CUS00333,350679.33,0.0,247.0,0.0,Late Payer
CUS00336,113878.05,267688.73,35.0,100.0,Late Payer
CUS00337,699565.91,0.0,237.0,0.0,Late Payer
CUS00338,40742.13,0.0,105.0,0.0,Late Payer
CUS00343,719006.39,755331.66,100.0,100.0,Late Payer
CUS00345,489899.12,0.0,288.0,0.0,Late Payer
CUS00346,474053.56999999995,0.0,193.0,0.0,Late Payer
CUS00348,1318350.8399999999,0.0,162.0,0.0,Late Payer
CUS00353,345389.06,0.0,303.0,0.0,Late Payer
CUS00354,1261561.37,0.0,282.5,0.0,Late Payer
CUS00355,1025178.9199999999,0.0,114.0,0.0,Late Payer
CUS00356,1805177.5099999998,0.0,172.67,0.0,Late Payer
CUS00357,2187003.99,0.0,160.0,0.0,Late Payer
CUS00358,595331.88,0.0,144.5,0.0,Late Payer
CUS00359,993385.33,0.0,-53.0,0.0,Early Payer
CUS00360,911135.06,0.0,141.0,0.0,Late Payer
CUS00361,847700.65,0.0,-12.5,0.0,Early Payer
CUS00363,884628.78,0.0,-30.0,0.0,Early Payer
CUS00364,167879.64,0.0,5.0,0.0,On-Time
CUS00367,982013.92,0.0,124.0,0.0,Late Payer
CUS00368,308991.18,0.0,267.0,0.0,Late Payer
CUS00369,1439259.85,0.0,89.5,0.0,Late Payer
CUS00370,1080809.31,0.0,144.0,0.0,Late Payer
CUS00373,725965.52,0.0,30.0,0.0,Late Payer
CUS00377,210469.84,0.0,263.0,0.0,Late Payer
CUS00379,816009.21,0.0,-28.0,0.0,Early Payer
CUS00382,595402.66,0.0,128.0,0.0,Late Payer
CUS00383,165419.61,729310.93,-54.0,100.0,Early Payer
CUS00385,1637459.37,0.0,218.5,0.0,Late Payer
CUS00387,1190472.59,0.0,131.5,0.0,Late Payer
CUS00388,113107.1,0.0,82.0,0.0,Late Payer
CUS00391,925655.3,0.0,125.0,0.0,Late Payer
CUS00392,998779.97,0.0,-51.0,0.0,Early Payer
CUS00393,514747.02,0.0,91.0,0.0,Late Payer
CUS00394,501253.23,0.0,284.0,0.0,Late Payer
CUS00398,231045.27,0.0,-16.0,0.0,Early Payer
CUS00401,478893.45,0.0,77.0,0.0,Late Payer
CUS00402,26303.35,0.0,11.0,0.0,Late Payer
CUS00403,90438.33,864059.3,297.0,0.0,Late Payer
CUS00406,911146.44,0.0,32.5,0.0,Late Payer
CUS00408,799955.77,0.0,136.5,0.0,Late Payer
CUS00409,666243.5900000001,0.0,134.5,0.0,Late Payer
CUS00410,490198.2,0.0,-6.0,0.0,Early Payer
CUS00411,445625.28,43172.59,167.0,100.0,Late Payer
CUS00412,318294.82,0.0,143.0,0.0,Late Payer
CUS00414,99260.78,0.0,135.0,0.0,Late Payer
CUS00417,647841.75,736882.36,119.0,100.0,Late Payer
CUS00418,872836.41,0.0,158.0,0.0,Late Payer
CUS00419,1149651.26,0.0,174.5,0.0,Late Payer
CUS00424,1105805.54,0.0,175.0,0.0,Late Payer
CUS00425,478298.73,0.0,310.0,0.0,Late Payer
CUS00426,97981.87,0.0,-40.0,0.0,Early Payer
CUS00431,330259.32,0.0,259.0,0.0,Late Payer
CUS00432,756925.87,0.0,151.0,0.0,Late Payer
CUS00433,187807.33,0.0,203.0,0.0,Late Payer
CUS00436,1105952.98,0.0,28.5,0.0,Late Payer
CUS00441,944283.17,0.0,126.0,0.0,Late Payer
CUS00443,195423.01,0.0,235.0,0.0,Late Payer
CUS00444,1037589.59,0.0,39.5,0.0,Late Payer
CUS00445,359480.92,0.0,243.0,0.0,Late Payer
CUS00446,167602.22,0.0,249.0,0.0,Late Payer
CUS00447,382956.78,0.0,182.0,0.0,Late Payer
CUS00448,293269.58,0.0,-58.0,0.0,Early Payer
CUS00450,840980.38,0.0,221.0,0.0,Late Payer
CUS00453,59212.63,0.0,-18.0,0.0,Early Payer
CUS00454,464880.51,10857.7,150.0,100.0,Late Payer
CUS00455,545776.27,0.0,243.0,0.0,Late Payer
CUS00457,573082.75,888036.13,85.0,100.0,Late Payer
CUS00458,471968.71,0.0,289.0,0.0,Late Payer
CUS00460,3282810.2800000003,0.0,182.0,0.0,Late Payer
CUS00461,917103.81,0.0,259.0,0.0,Late Payer
CUS00462,828203.5,0.0,183.0,0.0,Late Payer
CUS00463,463025.3,0.0,-47.0,0.0,Early Payer
CUS00465,471213.89,753846.15,156.0,100.0,Late Payer
CUS00466,35506.58,0.0,18.0,0.0,Late Payer
CUS00467,921730.5,0.0,235.0,0.0,Late Payer
CUS00468,946256.08,0.0,252.0,0.0,Late Payer
CUS00469,395686.12,0.0,282.0,0.0,Late Payer
CUS00473,770829.66,0.0,151.0,0.0,Late Payer
CUS00475,709120.41,0.0,66.0,0.0,Late Payer
CUS00476,439816.25,0.0,318.0,0.0,Late Payer
CUS00477,844056.97,0.0,290.5,0.0,Late Payer
CUS00484,982304.89,0.0,300.0,0.0,Late Payer
CUS00486,982512.38,0.0,34.5,0.0,Late Payer
CUS00488,542603.01,0.0,60.0,0.0,Late Payer
CUS00489,982017.9700000001,0.0,185.0,0.0,Late Payer
CUS00490,58790.2,0.0,77.0,0.0,Late Payer
CUS00493,777726.93,0.0,139.0,0.0,Late Payer
CUS00494,104434.56,0.0,94.0,0.0,Late Payer
CUS00495,946815.47,0.0,-20.0,0.0,Early Payer
CUS00496,931217.32,0.0,132.0,0.0,Late Payer
CUS00498,1008662.4199999999,0.0,129.5,0.0,Late Payer
CUS00500,1693386.12,0.0,36.5,0.0,Late Payer
CUS00502,910032.42,0.0,115.5,0.0,Late Payer
CUS00508,1610424.01,0.0,276.0,0.0,Late Payer
CUS00509,184093.87,0.0,128.0,0.0,Late Payer
CUS00510,413229.52,0.0,-56.0,0.0,Early Payer
CUS00513,1494023.79,0.0,113.5,0.0,Late Payer
CUS00516,1734004.76,0.0,152.5,0.0,Late Payer
CUS00517,887141.3,0.0,15.0,0.0,Late Payer
CUS00526,677638.03,0.0,278.0,0.0,Late Payer
CUS00527,470889.35,0.0,229.0,0.0,Late Payer
CUS00531,536120.46,0.0,269.0,0.0,Late Payer
CUS00532,618927.48,0.0,53.0,0.0,Late Payer
CUS00535,693886.02,0.0,192.0,0.0,Late Payer
CUS00536,259745.48,0.0,177.0,0.0,Late Payer
CUS00538,872511.87,0.0,195.0,0.0,Late Payer
CUS00539,34041.32,0.0,-54.0,0.0,Early Payer
CUS00541,637349.22,0.0,61.0,0.0,Late Payer
CUS00542,1132436.02,0.0,181.5,0.0,Late Payer
CUS00545,785751.09,691395.82,26.0,100.0,Late Payer
CUS00546,200561.13,0.0,38.0,0.0,Late Payer
CUS00547,671737.39,0.0,188.0,0.0,Late Payer
CUS00549,337995.29,811121.06,75.0,100.0,Late Payer
CUS00550,471453.91,0.0,-21.0,0.0,Early Payer
CUS00552,864861.6900000001,0.0,153.5,0.0,Late Payer
CUS00553,885602.91,0.0,196.0,0.0,Late Payer
CUS00554,738205.7999999999,0.0,116.0,0.0,Late Payer
CUS00555,661564.05,0.0,50.0,0.0,Late Payer
CUS00559,236490.87,0.0,150.0,0.0,Late Payer
CUS00560,519207.09,0.0,126.0,0.0,Late Payer
CUS00563,775926.1699999999,0.0,164.0,0.0,Late Payer
CUS00564,224773.58,0.0,152.0,0.0,Late Payer
CUS00565,520909.51,0.0,77.0,0.0,Late Payer
CUS00566,860264.38,0.0,244.5,0.0,Late Payer
CUS00567,1296264.42,0.0,146.5,0.0,Late Payer
CUS00569,215252.85,510179.18,10.0,100.0,On-Time
CUS00571,646166.54,0.0,281.0,0.0,Late Payer
CUS00573,15467.55,0.0,45.0,0.0,Late Payer
CUS00574,1766592.55,0.0,179.0,0.0,Late Payer
CUS00575,872211.5,0.0,53.5,0.0,Late Payer
CUS00576,235448.27000000002,0.0,128.5,0.0,Late Payer
CUS00577,141009.47999999998,0.0,143.5,0.0,Late Payer
CUS00579,227818.79,0.0,239.0,0.0,Late Payer
CUS00580,208895.61,0.0,-41.0,0.0,Early Payer
CUS00582,546230.28,361283.98,266.0,100.0,Late Payer
CUS00584,638394.07,150249.65,111.5,100.0,Late Payer
CUS00586,1659906.61,0.0,187.5,0.0,Late Payer
CUS00588,1973000.65,0.0,36.67,0.0,Late Payer
CUS00590,585314.96,0.0,65.0,0.0,Late Payer
CUS00593,528581.52,0.0,-60.0,0.0,Early Payer
CUS00594,1073546.69,0.0,79.0,0.0,Late Payer
CUS00597,787266.21,0.0,2.0,0.0,On-Time
CUS00599,776123.49,0.0,90.0,0.0,Late Payer
CUS00600,547605.92,0.0,196.0,0.0,Late Payer
CUS00601,876211.29,0.0,-55.0,0.0,Early Payer
CUS00604,1025211.9199999999,0.0,61.0,0.0,Late Payer
CUS00606,768262.8400000001,0.0,158.5,0.0,Late Payer
CUS00608,697569.51,0.0,43.0,0.0,Late Payer
CUS00609,709004.72,0.0,261.0,0.0,Late Payer
CUS00611,912275.69,0.0,210.0,0.0,Late Payer
CUS00612,1094851.8,0.0,180.0,0.0,Late Payer
CUS00614,1757792.56,0.0,225.33,0.0,Late Payer
CUS00615,900020.46,0.0,214.0,0.0,Late Payer
CUS00616,545275.1699999999,0.0,177.0,0.0,Late Payer
CUS00619,181051.81,0.0,167.0,0.0,Late Payer
CUS00621,451309.04,0.0,244.0,0.0,Late Payer
CUS00623,1435696.61,0.0,135.33,0.0,Late Payer
CUS00624,743296.09,0.0,72.0,0.0,Late Payer
CUS00631,83469.17,0.0,214.0,0.0,Late Payer
CUS00632,203464.46,0.0,166.0,0.0,Late Payer
CUS00633,985308.47,739696.38,116.0,100.0,Late Payer
CUS00634,883878.32,0.0,263.0,0.0,Late Payer
CUS00635,565528.75,0.0,296.5,0.0,Late Payer
CUS00638,570971.05,0.0,153.0,0.0,Late Payer
CUS00641,868249.97,0.0,197.0,0.0,Late Payer
CUS00642,920564.3500000001,165823.55,115.5,100.0,Late Payer
CUS00643,2407118.65,0.0,288.67,0.0,Late Payer
CUS00644,371222.94,0.0,273.0,0.0,Late Payer
CUS00645,174741.77,884791.78,3.0,100.0,On-Time
CUS00646,1651463.4300000002,0.0,159.67,0.0,Late Payer
CUS00648,948284.25,872464.98,67.0,0.0,Late Payer
CUS00651,343217.21,0.0,242.0,0.0,Late Payer
CUS00653,13021.19,0.0,64.0,0.0,Late Payer
CUS00654,591782.71,0.0,140.0,0.0,Late Payer
CUS00657,847871.66,0.0,241.0,0.0,Late Payer
CUS00664,273151.72,0.0,40.0,0.0,Late Payer
CUS00665,366535.05,0.0,9.0,0.0,On-Time
CUS00666,659212.47,696318.96,182.0,100.0,Late Payer
CUS00667,643493.61,489237.69,113.0,100.0,Late Payer
CUS00668,909523.92,0.0,209.0,0.0,Late Payer
CUS00669,1328083.13,0.0,166.5,0.0,Late Payer
CUS00670,1145881.7000000002,0.0,46.5,0.0,Late Payer
CUS00674,414546.76,0.0,267.0,0.0,Late Payer
CUS00676,144858.95,0.0,64.0,0.0,Late Payer
CUS00678,686090.02,0.0,157.0,0.0,Late Payer
CUS00682,853912.56,0.0,297.0,0.0,Late Payer
CUS00683,914381.46,0.0,151.0,0.0,Late Payer
CUS00685,480062.01,0.0,66.5,0.0,Late Payer
CUS00686,661495.48,0.0,92.5,0.0,Late Payer
CUS00687,1212868.73,0.0,126.0,0.0,Late Payer
CUS00690,790498.98,0.0,144.0,0.0,Late Payer
CUS00691,901616.96,0.0,259.0,0.0,Late Payer
CUS00692,778604.04,0.0,95.0,0.0,Late Payer
CUS00694,215896.99,0.0,-54.0,0.0,Early Payer
CUS00697,543533.32,0.0,225.0,0.0,Late Payer
CUS00698,678309.55,0.0,23.0,0.0,Late Payer
CUS00699,709474.58,0.0,306.0,0.0,Late Payer
CUS00702,635015.46,0.0,86.0,0.0,Late Payer
CUS00703,1320994.8599999999,0.0,195.5,0.0,Late Payer
CUS00704,629830.98,1486787.48,219.0,50.0,Late Payer
CUS00706,911687.81,0.0,143.0,0.0,Late Payer
CUS00707,645993.4,0.0,164.0,0.0,Late Payer
CUS00708,789284.75,0.0,73.0,0.0,Late Payer
CUS00711,1789867.5,0.0,121.5,0.0,Late Payer
CUS00712,676019.98,0.0,130.0,0.0,Late Payer
CUS00714,301456.24,0.0,151.0,0.0,Late Payer
CUS00716,306499.82,0.0,165.0,0.0,Late Payer
CUS00718,1798059.27,0.0,267.0,0.0,Late Payer
CUS00719,557773.93,0.0,34.0,0.0,Late Payer
CUS00720,9599.3,0.0,80.0,0.0,Late Payer
CUS00721,599879.39,0.0,234.0,0.0,Late Payer
CUS00725,805623.49,0.0,225.0,0.0,Late Payer
CUS00727,705706.09,0.0,118.0,0.0,Late Payer
CUS00728,948762.34,0.0,59.0,0.0,Late Payer
CUS00731,353301.86,0.0,24.0,0.0,Late Payer
CUS00733,987685.79,0.0,210.0,0.0,Late Payer
CUS00734,465294.1,0.0,40.0,0.0,Late Payer
CUS00736,472924.36000000004,0.0,46.5,0.0,Late Payer
CUS00738,591111.02,0.0,226.0,0.0,Late Payer
CUS00740,332153.83,0.0,302.0,0.0,Late Payer
CUS00742,27448.83,0.0,158.0,0.0,Late Payer
CUS00743,372193.45,0.0,190.0,0.0,Late Payer
CUS00744,666200.81,0.0,184.0,0.0,Late Payer
CUS00745,1321555.04,0.0,142.0,0.0,Late Payer
CUS00746,138888.07,0.0,56.0,0.0,Late Payer
CUS00747,647538.22,0.0,94.0,0.0,Late Payer
CUS00748,14665.78,0.0,97.0,0.0,Late Payer
CUS00749,223617.4,0.0,101.0,0.0,Late Payer
CUS00751,417564.24,0.0,86.0,0.0,Late Payer
CUS00754,631470.52,0.0,-53.0,0.0,Early Payer
CUS00755,490100.81,0.0,162.0,0.0,Late Payer
CUS00756,430665.04000000004,0.0,146.0,0.0,Late Payer
CUS00757,294107.37,0.0,235.0,0.0,Late Payer
CUS00758,1172606.09,0.0,243.5,0.0,Late Payer
CUS00760,15540.83,0.0,223.0,0.0,Late Payer
CUS00763,714941.29,0.0,81.0,0.0,Late Payer
CUS00765,423787.69,0.0,220.0,0.0,Late Payer
CUS00766,299518.68,0.0,-36.0,0.0,Early Payer
CUS00768,568781.04,0.0,299.0,0.0,Late Payer
CUS00771,132576.06,0.0,62.0,0.0,Late Payer
CUS00772,100959.46,0.0,-34.0,0.0,Early Payer
CUS00775,115638.6,0.0,2.0,0.0,On-Time
CUS00779,465900.67,0.0,124.0,0.0,Late Payer
CUS00781,752874.85,0.0,116.0,0.0,Late Payer
CUS00782,1051274.58,0.0,235.5,0.0,Late Payer
CUS00783,1402155.06,0.0,167.33,0.0,Late Payer
CUS00784,829192.48,0.0,143.0,0.0,Late Payer
CUS00787,586880.65,0.0,7.0,0.0,On-Time
CUS00788,271191.66,0.0,277.0,0.0,Late Payer
CUS00796,858609.1699999999,0.0,123.0,0.0,Late Payer
CUS00798,357315.09,0.0,109.0,0.0,Late Payer
CUS00800,967848.76,0.0,248.0,0.0,Late Payer
CUS00805,801923.09,0.0,-36.0,0.0,Early Payer
CUS00806,707549.66,0.0,118.5,0.0,Late Payer
CUS00808,1411960.29,0.0,51.0,0.0,Late Payer
CUS00810,447415.54,173307.95,30.0,100.0,Late Payer
CUS00814,517076.08,0.0,251.0,0.0,Late Payer
CUS00815,260630.4,0.0,35.0,0.0,Late Payer
CUS00819,594290.9299999999,997749.03,211.0,100.0,Late Payer
CUS00820,521804.1,0.0,150.0,0.0,Late Payer
CUS00821,768286.63,0.0,155.0,0.0,Late Payer
CUS00823,943853.91,0.0,170.0,0.0,Late Payer
CUS00824,352714.69,0.0,-41.0,0.0,Early Payer
CUS00826,961412.93,0.0,82.5,0.0,Late Payer
CUS00830,186698.91,0.0,35.0,0.0,Late Payer
CUS00834,44760.03,0.0,213.0,0.0,Late Payer
CUS00835,187398.92,1129613.63,285.0,100.0,Late Payer
CUS00837,1892979.97,0.0,200.0,0.0,Late Payer
CUS00839,797892.41,0.0,35.0,0.0,Late Payer
CUS00840,1033889.75,0.0,95.0,0.0,Late Payer
CUS00843,732417.55,0.0,155.0,0.0,Late Payer
CUS00845,402665.83,0.0,77.0,0.0,Late Payer
CUS00846,10213.67,0.0,-60.0,0.0,Early Payer
CUS00853,206099.03,0.0,281.0,0.0,Late Payer
CUS00854,361275.55,0.0,306.0,0.0,Late Payer
CUS00857,143074.66,0.0,73.0,0.0,Late Payer
CUS00858,923223.61,0.0,24.0,0.0,Late Payer
CUS00859,1893496.8900000001,506073.56,1.5,0.0,On-Time
CUS00861,890798.9199999999,0.0,-13.0,0.0,Early Payer
CUS00863,903134.37,0.0,287.0,0.0,Late Payer
CUS00864,580614.48,0.0,276.0,0.0,Late Payer
CUS00868,1630612.5,921547.93,51.0,100.0,Late Payer
CUS00869,237990.46,0.0,187.0,0.0,Late Payer
CUS00870,873782.87,0.0,39.0,0.0,Late Payer
CUS00871,1257148.96,0.0,188.5,0.0,Late Payer
CUS00873,593952.75,0.0,156.0,0.0,Late Payer
CUS00875,903911.97,0.0,179.0,0.0,Late Payer
CUS00879,898244.4,0.0,135.0,0.0,Late Payer
CUS00881,217475.49,578714.15,128.0,100.0,Late Payer
CUS00882,750852.9,0.0,273.0,0.0,Late Payer
CUS00884,427302.31,0.0,291.0,0.0,Late Payer
CUS00887,589838.39,60687.29,23.0,100.0,Late Payer
CUS00889,1322519.4700000002,0.0,174.5,0.0,Late Payer
CUS00890,816968.28,0.0,48.0,0.0,Late Payer
CUS00892,793610.0,0.0,104.0,0.0,Late Payer
CUS00895,612778.75,0.0,151.0,0.0,Late Payer
CUS00899,1345079.2,0.0,135.5,0.0,Late Payer
CUS00902,406426.35,374680.43,194.0,50.0,Late Payer
CUS00903,1061852.27,919055.08,54.5,100.0,Late Payer
CUS00908,355590.12,0.0,212.0,0.0,Late Payer
CUS00910,729433.96,274924.34,282.0,100.0,Late Payer
CUS00911,712993.4600000001,0.0,65.67,0.0,Late Payer
CUS00913,1830919.3399999999,0.0,281.5,0.0,Late Payer
CUS00914,499229.65,0.0,292.0,0.0,Late Payer
CUS00915,1834.99,0.0,-33.0,0.0,Early Payer
CUS00919,741246.15,0.0,212.0,0.0,Late Payer
CUS00920,433518.96,0.0,254.0,0.0,Late Payer
CUS00922,1308620.88,0.0,103.0,0.0,Late Payer
CUS00923,386887.29,228893.75,10.0,100.0,On-Time
